variable,const,mlr
$dT/dt$,-0.20107220866907388,0.10259108429139573
$dq/dt$,,
NETSW,-0.7357231185866522,0.6507086931169309
FLWDS,-9.75724429181813,0.7130251724345721
PRECSC,-inf,-inf
PRECC,-3091.7823591374995,-6758.810075041353
SOLS,-0.32812926896382444,0.5580097771202436
SOLL,-0.2103324018503446,0.5984055629860073
SOLSD,-0.012430819650720489,0.7884583874641568
SOLLD,-0.03520748227096244,0.5230753073729787
